Berufsbenennungen;KldB 2010 (5-Steller)
Gerüstbauerhelfer/in;32101
Handlanger/in(Bauhilfsarbeiter/in);32101
Helfer/in - Bau;32101
Helfer/in - Gerüstbau;32101
Helfer/in - Hochbau;32101
Hochbauhelfer/in;32101
Maurerhelfer/in;32101
Baufacharbeiter/in - Hochbau;32102
Baufachwerker/in - Hochbau (§66 BBiG/§42m HWO);32102
Baufachwerker/in (Hochbau);32102
Betonfertighausmonteur/in;32102
Facharbeiter/in - Hochbau;32102
Fertigbaufacharbeiter/in;32102
Fertighausmonteur/in (Beton);32102
Hochbaufacharbeiter/in (ohne Angabe des Schwerpunkts);32102
Hochbaufachwerker/in;32102
Hochbauvorarbeiter/in;32102
Monteur/in - Fertighäuser (Beton);32102
Spezialbaufacharbeiter/in (Hochbau);32102
Vorarbeiter/in - Hochbau;32102
Bauingenieur/in (FS) - Hochbau;32103
Bautechniker/in - Hochbau;32103
Beamt(er/in) - Hochbau (geh. techn. Dienst);32103
Hochbautechniker/in;32103
Restaurator/in - Hochbau;32103
Techniker/in - Bautechnik (Hochbau)/B. Prof. Technik;32103
Techniker/in - Bautechnik (Stahlhochbau);32103
Techniker/in - Hoch- und Industriebau;32103
Bauingenieur/in - Hochbau;32104
Beamt(er/in) - Hochbau (höh. techn. Dienst);32104
Betonbauingenieur/in;32104
Dipl.-Ing. - Bau (Hochbau);32104
Hochbauingenieur/in;32104
Ingenieur/in - Bau (Hochbau);32104
Baufacharbeiter/in - Montagearbeiten;32112
Baufacharbeiter/in - Montagebau;32112
Baufacharbeiter/in - Stahlbetonarbeiten;32112
Baufacharbeiter/in - Stahlbetonbewehrungsbau;32112
Baufacharbeiter/in - Stahlbetonschalungsbau;32112
Beton- und Stahlbetonbauer/in;32112
Betonbauer/in;32112
Betonbaufacharbeiter/in;32112
Betonfacharbeiter/in;32112
Betonfertigteilemontierer/in;32112
Betonierer/in;32112
Betonsanierer/in;32112
Betonstahlbieger/in (Eisenbieger/in);32112
Betonstahlbieger/in und -flechter/in;32112
Betonstahlflechter/in;32112
Einschaler/in;32112
Eisenbetonbauer/in;32112
Eisenbieger/in;32112
Eisenflechter/in;32112
Eisenleger/in;32112
Eisenverleger/in;32112
Hochbaufacharbeiter/in - Beton- und Stahlbetonarbeiten;32112
Rohbaumonteur/in;32112
Sanierer/in (Beton);32112
Schalungsbauer/in (Einschaler);32112
Spannbetonmonteur/in;32112
Stahlbetonbauer/in;32112
Stahlbetonbaufacharbeiter/in;32112
Stahlflechter/in;32112
Treppenbauer/in (Stein, Beton);32112
Bautechniker/in - Betonbau;32113
Bautechniker/in - Stahlbetonbau;32113
Beton- und Stahlbetonbautechniker/in;32113
Betonbautechniker/in;32113
Eisenbetontechniker/in;32113
Stahlbetontechniker/in;32113
Techniker/in - Bautechnik (Betonbau);32113
Techniker/in - Bautechnik (Stahlbetonbau);32113
Techniker/in - Betonbau;32113
Techniker/in - Stahlbetonbau;32113
Ausbaumaurer/in;32122
Baufacharbeiter/in - Mauerwerksbau;32122
Baufacharbeiter/in - Maurerarbeiten;32122
Fachkraft - Lehmbau;32122
Fuger/in, Verfuger/in;32122
Hochbaufacharbeiter/in - Maurerarbeiten;32122
Kanalmaurer/in;32122
Maurer/in;32122
Schachtmaurer/in;32122
Treppenbaumaurer/in;32122
Verblendmaurer/in;32122
Verfuger/in;32122
Maurer/in - Restaurierungsarbeiten;32123
Restaurator/in - Maurer-u. Betonbauerhw./M. Prof. Restaur.;32123
Feuerfestmaurer/in;32132
Feuerungs- und Industrieofenbauer/in;32132
Feuerungs- und Schornsteinbauer/in;32132
Feuerungsmaurer/in;32132
Hochbaufacharbeiter/in - Feuerungs- und Schornsteinbauarb.;32132
Industrieofenbauer/in;32132
Kaminbauer/in (Schornsteinbau);32132
Kaminmaurer/in;32132
Schornsteinbauer/in;32132
Schornsteinmaurer/in;32132
Schornsteinsanierer/in;32132
Dachdecker/in;32142
Dachdecker/in - Abdichtungstechnik;32142
Dachdecker/in - Außenwandbekleidungstechnik;32142
Dachdecker/in - Dachdeckungstechnik;32142
Dachdecker/in - Energietechnik an Dach und Wand;32142
Dachdecker/in - Fachrichtung Dach-, Wand- u. Abdicht.technik;32142
Dachdecker/in - Fachrichtung Reetdachtechnik;32142
Dachdecker/in - Reetdachtechnik;32142
Dachdecker/in (mit Fachrichtungen);32142
Dachdecker/in u. Klempner/in;32142
Dachdecker/in und Bauklempner/in;32142
Dachinstandsetzer/in;32142
Flachdachdecker/in;32142
Hartdachdecker/in;32142
Pappdachdecker/in;32142
Schieferdachdecker/in;32142
Schindeldachdecker/in;32142
Strohdachdecker/in;32142
Turmdachdecker/in;32142
Ziegeldachdecker/in;32142
Fassadenbauer/in;32152
Fassadenmaurer/in;32152
Fassadenmonteur/in;32152
Fassadenverkleider/in;32152
Klinkermaurer/in;32152
Baukletterer/-kletterin;32162
Gerüst- und Schalungsbauer/in;32162
Gerüstbauer/in;32162
Gerüstbaumonteur/in;32162
Gerüstmonteur/in;32162
Hängegerüstbauer/in;32162
Höhenarbeiter/in;32162
Industriekletterer/-kletterin;32162
Leitergerüstbauer/in;32162
Stahlrohrgerüstbauer/in;32162
Tribünenbauer/in;32162
Bauwerksmechaniker/in für Abbruch und Betontrenntechnik;32172
Betonbohrer/in;32172
Betontrennfachmann/-frau;32172
Hochbaufacharbeiter/in - Abbruch- und Betontrenntechnikarb.;32172
Kernbohrer/in;32172
Mechaniker/in - Abbruch und Betontrenntechnik;32172
Bauleiter/in (Hochbau);32193
Beton- u. Stahlbetonbauermeister/in;32193
Betonbaupolier/in;32193
Dachdeckermeister/in/B. Prof. Dachdecker-Handwerk;32193
Feuerungs- u. Schornsteinbauermeister/in;32193
Feuerungsbauermeister/in;32193
Gerüstbauermeister/in/B. Prof. Gerüstbauer-Handwerk;32193
Gerüstbau-Kolonnenführer/in;32193
Gerüstbaumontageleiter/in;32193
Handwerksmeister/in - Gerüstbau;32193
Hochbaupolier/in;32193
Kaminbauermeister/in;32193
Maurer- und Betonbauermeister/in/B. Prof. Maurer-/Betonb.Hw.;32193
Maurermeister/in;32193
Maurerpolier/in;32193
Meister/in - Bauproduktion;32193
Meister/in - Baureparaturen;32193
Meister/in - Bautechnische Instandsetzung;32193
Meister/in - Betonbau;32193
Meister/in - Betongleitbau;32193
Meister/in - Dachdeckerhandwerk;32193
Meister/in - Hochbau;32193
Meister/in - Maurerhandwerk;32193
Meister/in - Rohbaumontage;32193
Polier/in - Beton-, Stahlbetonbau;32193
Polier/in - Gerüstbau;32193
Polier/in - Hochbau;32193
Schornsteinbauermeister/in;32193
Schornsteinbaupolier/in;32193
Stahlbetonbauermeister/in;32193
Werkmeister/in - Fertigbauindustrie;32193
Werkmeister/in (Fertighausindustrie u. Fertigteilmontage);32193
Werkpolier/in - Beton- und Stahlbetonbau;32193
Werkpolier/in - Feuerfest- u. Schornsteinbau;32193
Werkpolier/in - Hochbau;32193
Asphalt- u. Teerkocher/in;32201
Asphaltstraßenarbeiter/in;32201
Bauhelfer/in - Tiefbau;32201
Betonstraßenwerker/in;32201
Bohrgehilfe/in (Brunnenbau);32201
Deicharbeiter/in;32201
Erdarbeiter/in;32201
Fuger/in (Straßenbauer/in);32201
Gleisbauerhelfer/in;32201
Grabungshelfer/in;32201
Harker/in;32201
Helfer/in - Erdarbeiten;32201
Helfer/in - Gleisbau;32201
Helfer/in - Grabungen;32201
Helfer/in - Kultur-, Wasserbau;32201
Helfer/in - Schachtarbeiten;32201
Helfer/in - Straßenbau;32201
Helfer/in - Tiefbau;32201
Kultur-, Wasserbauhelfer/in;32201
Kulturbauhelfer/in;32201
Pflastererhelfer/in;32201
Pflasterrammer/in;32201
Planierer/in (Erdbewegungsarbeiter/in);32201
Planierer/in (Harker/in);32201
Reiber/in;32201
Rutengänger/in;32201
Schachtarbeiter/in;32201
Sielarbeiter/in (Kanalbauer);32201
Sondengänger/in;32201
Steinsetzerhelfer/in;32201
Straßenarbeiter/in;32201
Straßenbauhelfer/in;32201
Straßenunterhaltungsarbeiter/in;32201
Streckenarbeiter/in;32201
Teerer/in;32201
Tiefbauhelfer/in;32201
Wasserbauhelfer/in;32201
Baufacharbeiter/in - Kommunaler Tiefbau;32202
Baufacharbeiter/in - Tiefbau;32202
Baufacharbeiter/in - Tiefbauarbeiten;32202
Baufachwerker/in - Tiefbau (§66 BBiG/§42m HWO);32202
Baufachwerker/in (Tiefbau);32202
Fachwerker/in (Tiefbau);32202
Spezialtiefbauer/in;32202
Tiefbauarbeiter/in;32202
Tiefbauer/in;32202
Tiefbaufacharbeiter/in (ohne Angabe des Schwerpunkts);32202
Vorarbeiter/in - Tiefbau;32202
Bauingenieur/in (FS) - Tiefbau;32203
Bautechniker/in - Tiefbau;32203
Techniker/in - Bautechnik (Tiefbau)/B. Prof. Technik;32203
Tiefbautechniker/in;32203
Bauingenieur/in - Tiefbau;32204
Dipl.-Ing. - Bau (Tiefbau);32204
Dipl.-Ing. (Uni) - Kommunaler Tiefbau;32204
Ingenieur/in - Bau (Tiefbau);32204
Tiefbauingenieur/in;32204
Betonwerksteinleger/in;32212
Bordsteinsetzer/in;32212
Feldsteinpflaster(er/in);32212
Grenzsteinsetzer/in;32212
Kleinpflasterleger/in;32212
Mosaikpflaster(er/in);32212
Pflasterer/Pflasterin;32212
Pflasterleger/in;32212
Pflastersetzer/in;32212
Plattenleger/in (Steinsetzer/in);32212
Steinsetzer/in;32212
Straßenbauer/in -Pflaster(er/in)-;32212
Straßenpflasterer/-pflasterin;32212
Asphaltabdichter/in;32222
Asphaltbauer/in;32222
Asphalteur/in;32222
Asphaltierervorarbeiter/in;32222
Betonstraßenbauer/in;32222
Facharbeiter/in - Straßenbautechnik;32222
Gussasphaltierer/in;32222
Meliorationstechniker/in - Wirtschaftswegebau;32222
Schwarzstraßenarbeiter/in;32222
Schwarzstraßenbauer/in;32222
Straßenbauarbeiter/in;32222
Straßenbauer/in;32222
Straßenbaufacharbeiter/in;32222
Teerer/in (Schwarzstraßenbau);32222
Tiefbaufacharbeiter/in - Straßenbauarbeiten;32222
Vorarbeiter/in (Asphaltbau);32222
Bauingenieur/in (FS) - Straßenbau;32223
Techniker/in - Bautechnik (Straßenbau);32223
Techniker/in - Straßenbau;32223
Straßenbauingenieur/in;32224
Wegebauingenieur/in;32224
Bahnarbeiter/in (Gleisbau);32232
Baufacharbeiter/in - Gleisbau;32232
Facharbeiter/in - Eisenbahnbau;32232
Facharbeiter/in - Eisenbahnbautechnik;32232
Gleisbauer/in;32232
Gleisbaufacharbeiter/in;32232
Gleisbaufacharbeiter/in - Gleisbau;32232
Gleisbaufacharbeiter/in - Tiefbau;32232
Gleisbaumaschinist/in;32232
Gleisbauvorarbeiter/in;32232
Gleiswerker/in;32232
Schienenfahrzeugschlosser/in - Gleisbaumaschinist/in;32232
Tiefbaufacharbeiter/in - Gleisbauarbeiten;32232
Tiefbaufacharbeiter/in (Gleisbau);32232
Bauingenieur/in (FS) - Eisenbahnbau;32233
Techniker/in - Gleisbautechnik;32233
Bohrarbeiter/in (Tiefbau);32242
Bohrführer/in - Brunnenbau;32242
Bohrgeräteführer/in;32242
Bohrgeräteführer/in (Brunnenbau);32242
Brunnenbauer/in;32242
Brunnenbauvorarbeiter/in;32242
Brunnenbohrer/in;32242
Brunnenmacher/in;32242
Facharbeiter/in - Geologische Bohrungen;32242
Geräteführer/in - Brunnenbau;32242
Stollenhauer/in (Mineur);32242
Tiefbaufacharbeiter/in - Brunnen- und Spezialtiefbauarbeiten;32242
Tiefbohrer/in;32242
Brunnenbautechniker/in;32243
Techniker/in - Brunnenbau;32243
Kanalbauer/in;32252
Kanalbauer/in - Infrastrukturtechnik;32252
Kanalbaufacharbeiter/in;32252
Kanalrohrleger/in;32252
Schachtbauer/in;32252
Tiefbaufacharbeiter/in - Kanalbauarb. für Infrastrukturtech.;32252
Tiefbaufacharbeiter/in - Kanalbauarbeiten;32252
Tunnelbauer/in;32252
Tunnelbauer/in, Mineur/in;32252
Kanalbautechniker/in;32253
Kanalmeister/in;32253
Deichbauer/in;32262
Drainagearbeiter/in;32262
Facharbeiter/in - Melioration;32262
Facharbeiter/in - Wasserbau;32262
Facharbeiter/in - Wasserbautechnik;32262
Faschinenleger/in;32262
Kulturbauarbeiter/in;32262
Kulturbautechniker/in;32262
Kulturbauwerker/in;32262
Küstenschutzarbeiter/in;32262
Landgewinnungsarbeiter/in;32262
Lawinenschutzbauarbeiter/in;32262
Meliorationsfacharbeiter/in;32262
Meliorationstechniker/in - Bewässerung;32262
Meliorationstechniker/in - Entwässerung;32262
Wasser- u. Landschaftsbauer/in;32262
Wasserbauarbeiter/in;32262
Wasserbauer/in;32262
Wasserbaufacharbeiter/in;32262
Wasserbauwerker/in;32262
Beamt(er/in) - Wasser-, Schifffahrtsverw. (geh.tech.Dienst);32263
Beamt(er/in) - Wasser-, Schifffahrtsverwaltung (geh. Dienst);32263
Meliorationsingenieur/in (FS);32263
Techniker/in - Wasserbau;32263
Tiefbautechniker/in (Kultur-, Wasserbau);32263
Wasser- u. Schifffahrtsverwaltungsbeamt(er/in) (geh. Dienst);32263
Wasserbautechniker/in;32263
Wasserwirtschaftsingenieur/in FS) - Wasserbau;32263
Bauingenieur/in - Wasserbau;32264
Dipl.-Ing. - Bau (Wasserbau);32264
Dipl.-Ing. (FH) - Bau (Kulturtechnik);32264
Ingenieur/in - Wasserbau und-wirtschaft;32264
Kulturbauingenieur/in;32264
Wasserbauingenieur/in;32264
Bauleiter/in (Straßenbau);32293
Bauleiter/in (Tiefbau);32293
Brunnenbauermeister/in/B. Prof. Brunnenbauer-Handwerk;32293
Brunnenbaupolier/in;32293
Brunnenbohrmeister/in;32293
Deichmeister/in;32293
Drainagemeister/in;32293
Eisenbahnmeister/in - Gleisbau;32293
Gleisbaumeister/in/B. Prof. Gleisbau;32293
Gleisbaupolier/in;32293
Handwerksmeister/in - Brunnenbau;32293
Handwerksmeister/in - Straßenbau;32293
Kanalbaumeister/in;32293
Kanalbaupolier/in;32293
Meister/in - Brunnenbauerhandwerk;32293
Meister/in - Eisenbahnbautechnik;32293
Meister/in - Gleisbau;32293
Meister/in - Gleisbaumaschinen;32293
Meister/in - Kanalbau;32293
Meister/in - Landwirtschaftsbau;32293
Meister/in - Melioration;32293
Meister/in - Straßenbau;32293
Meister/in - Straßenbauerhandwerk;32293
Meister/in - Straßenbautechnik;32293
Meister/in - Strecken- und Überbau;32293
Meister/in - Tiefbau;32293
Meister/in - Tunnel- und Schachtbau;32293
Meister/in - Wasserbautechnik;32293
Meister/in - Wasserbautechnik (Wasserbauwerker);32293
Meliorationsmeister/in;32293
Polier/in - Brunnenbau;32293
Polier/in - Gleisbau;32293
Polier/in - Straßenbau;32293
Polier/in - Tiefbau;32293
Rammmeister/in;32293
Rammpolier/in;32293
Schachtmeister/in;32293
Schachtmeister/in - Tunnel-, Schachtbau;32293
Schachtmeister/in (Straßenbau);32293
Schwarzstraßenpolier/in;32293
Straßenbauermeister/in/B. Prof. Straßenbauer-Handwerk;32293
Straßenbaupolier/in;32293
Tiefbaumeister/in;32293
Tiefbaupolier/in;32293
Tunnelmeister/in;32293
Wasserbaumeister/in;32293
Wasserbauwerkermeister/in;32293
Werkpolier/in - Asphaltbau;32293
Werkpolier/in - Straßenbau;32293
Werkpolier/in - Tiefbau;32293
Bodenlegerhelfer/in;33101
Estrich- und Terrazzolegerhelfer/in;33101
Estrichlegerhelfer/in;33101
Fliesenlegerhelfer/in;33101
Helfer/in - Bodenverlegung;33101
Helfer/in - Estrich- und Terrazzoverlegung;33101
Helfer/in - Fliesenlegen;33101
Parkettlegerhelfer/in;33101
Terrazzolegerhelfer/in;33101
Ausbaufacharbeiter/in - Fußbodenlegerarbeiten;33102
Bodenleger/in;33102
Bodenverleger/in;33102
Fußbodenleger/in;33102
Linoleumleger/in;33102
Raumausstatter/in - Boden;33102
Teppichbodenverleger/in;33102
Teppichverleger/in;33102
Vorarbeiter/in - Bodenverlegung;33102
Ausbaufacharbeiter/in - Fliesen-, Platten- u. Mosaikarbeiten;33112
Ausbaufacharbeiter/in - Fliesenlegerarbeiten;33112
Fliesen- und Mosaikleger/in;33112
Fliesen-, Platten- und Mosaikleger/in;33112
Fliesenleger/in;33112
Fliesensetzer/in;33112
Kunststeinleger/in;33112
Marmorverleger/in;33112
Mosaikbildhauer/in;33112
Mosaikleger/in;33112
Mosaikplattenleger/in;33112
Mosaiksetzer/in;33112
Natursteinverleger/in;33112
Platten- u. Fliesenleger/in;33112
Plattensetzer/in;33112
Vorarbeiter/in (Fliesen-, Platten- u. Mosaiklegen);33112
Ausbaufacharbeiter/in - Estricharbeiten;33122
Bodenleger/in (Estrich, Terrazzo);33122
Estricharbeiter/in;33122
Estrichbodenleger/in;33122
Estrichleger/in;33122
Steinholzleger/in;33122
Steinholzleger/in und Spezialestrichhersteller/in;33122
Terrazzoleger/in;33122
Vorarbeiter/in (Estricharbeiten);33122
Bodenleger/in - Parkett;33132
Fachverleger/in - Parkett;33132
Parkettabzieher/in;33132
Parkettbodenleger/in;33132
Parkettfußbodenleger/in;33132
Parkettleger/in;33132
Parkettschleifer/in;33132
Parkettversiegler/in;33132
Tischler/in - Parkettleger/in;33132
Parkettleger/in - Restaurierungsarbeiten;33133
Parkettrestaurator/in;33133
Restaurator/in - Parkettlegerhandwerk/M. Prof. Restaurierung;33133
Bodenlegermeister/in (Estrich);33193
Bodenlegermeister/in (Parkett);33193
Estrichlegermeister/in/B. Prof. Estrichleger-Handwerk;33193
Fliesen-, Platten-, Mosaiklegermeister/in/B. Prof. LegerHw.;33193
Fliesenlegermeister/in;33193
Handwerksmeister/in - Fliesen-, Platten-, Mosaiklegerei;33193
Meister/in - Estrichlegerhandwerk;33193
Meister/in - Fliesen-, Platten- und Mosaiklegerhandwerk;33193
Meister/in - Fliesenlegerarbeiten;33193
Meister/in - Fliesenlegerhandwerk;33193
Meister/in - Fußbodenlegerarbeiten (Estrich, Terrazzo);33193
Meister/in - Parkettlegerhandwerk;33193
Mosaiklegermeister/in;33193
Parkettlegermeister/in/B. Prof. Parkettleger-Handwerk;33193
Plattenlegermeister/in;33193
Polier/in - Estricharbeiten;33193
Polier/in - Fliesen-, Platten- u. Mosaiklegearbeiten;33193
Werkpolier/in - Estricharbeiten;33193
Werkpolier/in - Fliesen-, Platten-, Mosaiklegen;33193
Helfer/in - Malerei, Lackiererei;33211
Lackiererhelfer/in;33211
Maler- und Lackiererhelfer/in;33211
Malerhelfer/in;33211
Anstreicher/in;33212
Ausbaufacharbeiter/in - Malerarbeiten;33212
Bau- und Metallmaler/in (§66 BBiG/§42m HWO);33212
Baumaler/in;33212
Bauten- und Objektbeschichter/in;33212
Bautenbeschichter/in;33212
Entroster/in;33212
Facharbeiter/in - Schutzanstriche;33212
Flachmaler/in;33212
Industrieanstreicher/in;33212
Industriemaler/in;33212
Kirchenmaler/in;33212
Korrosionsschützer/in;33212
Korrosionsschutzfacharbeiter/in;33212
Korrosionsschutzfacharbeiter/in - Anstrichstoffbeschichtung;33212
Maler/in;33212
Maler/in u. Lackierer/in - Korrosionsschutz;33212
Maler/in u. Lackierer/in - Maler/in;33212
Maler/in und Anstreicher/in;33212
Maler/in und Lackierer/in - Ausbautech. u. Oberflächengest.;33212
Maler/in und Lackierer/in - Bau- und Korrosionsschutz;33212
Maler/in und Lackierer/in - Bauten- und Korrosionsschutz;33212
Maler/in und Lackierer/in - Energieeff.- u. Gestaltungstech.;33212
Maler/in und Lackierer/in - Gestaltung und Instandhaltung;33212
Maler/in und Lackierer/in - Kirchenmalerei und Denkmalpflege;33212
Maler/in und Lackierer/in - Maler/in;33212
Maler/in und Tapezierer/in;33212
Marmormaler/in;33212
Metallmaler/in;33212
Objektbeschichter/in;33212
Schablonierer/in (Maler- und Lackiererarbeiten);33212
Sgraffitomaler/in;33212
Tapetenkleber/in;33212
Tapezierer/in;33212
Tüncher/in;33212
Vorarbeiter/in - Maler- und Lackiererarbeiten;33212
Vorarbeiter/in (Lackiererei);33212
Vorarbeiter/in (Maler- u. Lackiererhandwerk);33212
Maler- und Lackierermeister/in - Restaurierungsarbeiten;33213
Maler/in und Lackierer/in - Restaurierungsarbeiten;33213
Restaurator/in - Maler- u. Lackiererhw./M. Prof. Restaur.;33213
Ausbaufacharbeiter/in - Stuckarbeiten;33222
Ausbaufacharbeiter/in - Stuckateurarbeiten;33222
Außenputzer/in;33222
Baufacharbeiter/in - Putzen;33222
Baustuckateur/in;33222
Fassadenputzer/in (Verputzerin);33222
Gipsbildhauer/in (Stuckateur/in);33222
Gipser/in (Stuckateur/in);33222
Gipsputzer/in;33222
Gipsstuckateur/in;33222
Innenputzer/in;33222
Marmorstuckateur/in;33222
Modelleur/in (Stuckateur/in);33222
Rabitzstuckateur/in;33222
Sgraffitostuckateur/in;33222
Stuckateur/in;33222
Verputzer/in;33222
Vorarbeiter/in (Stuckarbeiten);33222
Restaurator/in - Stuckateurhandwerk/M. Prof. Restaurierung;33223
Stuckateur/in - Restaurierungsarbeiten;33223
Stuckrestaurator/in;33223
Abdichter/in (Dachdeckerei);33232
Asphaltierer/in (nicht Straßenbau);33232
Bauisoleur/in;33232
Bauwerksabdichter/in;33232
Dachabdichter/in;33232
Flachdachabdichter/in;33232
Flachdachisolierer/in;33232
Isolierer/in (Dach);33232
Klebeabdichter/in;33232
Säurebauarbeiter/in;33232
Säurebaufacharbeiter/in;33232
Säureschutzfacharbeiter/in;33232
Vorarbeiter/in (Bauwerksabdichtung);33232
Bauabdichtungstechniker/in;33233
Bautenschützer/in;33242
Bautenschutzfachkraft;33242
Fachkraft - Holz- und Bautenschutzarbeiten;33242
Fachkraft - Sanierung von Feuchtschäden und Schimmel;33242
Holz- und Bautenschützer/in - Bautenschutz;33242
Holz- und Bautenschützer/in - Holzschutz;33242
Holz- und Bautenschutzfachkraft;33242
Holzschützer/in;33242
Mauertrockenleger/in;33242
Holz- und Bautenschutztechniker/in;33243
Holzschutzsachverständige/r;33243
Sachverständige/r - Holzschutz;33243
Ausbaumanager/in;33293
Gipsermeister/in;33293
Lackierermeister/in;33293
Maler- und Anstreichermeister/in;33293
Maler- und Lackierermeister/in/B. Prof. Maler-/Lackierer-Hw.;33293
Malermeister/in;33293
Meister/in - Abdichtungsarbeiten;33293
Meister/in - Holz- und Bautenschutzgewerbe;33293
Meister/in - Lackiererhandwerk;33293
Meister/in - Maler- und Lackiererhandwerk;33293
Meister/in - Malerhandwerk;33293
Meister/in - Stukkateurhandwerk;33293
Polier/in - Säurebauarbeiten;33293
Putzermeister/in;33293
Stuckateurmeister/in/B. Prof. Stuckateur-Handwerk;33293
Werkpolier/in - Stuckarbeiten;33293
Ausbauhelfer/in;33301
Bauhelfer/in - Ausbau;33301
Gipserhelfer/in;33301
Glaserhelfer/in;33301
Helfer/in - Ausbau;33301
Helfer/in - Isolierung;33301
Helfer/in - Zimmerei;33301
Isoliererhelfer/in;33301
Putzerhelfer/in;33301
Raumausstatterhelfer/in;33301
Stuckateurhelfer/in;33301
Trockenbauhelfer/in;33301
Verputzerhelfer/in;33301
Zimmererhelfer/in;33301
Zimmererhilfsarbeiter/in;33301
Akustikmonteur/in;33302
Ausbaufacharbeiter/in - Trockenbauarbeiten;33302
Ausbaufacharbeiter/in (ohne Angabe des Schwerpunkts);33302
Ausbaufachwerker/in (§66 BBiG/§42m HWO);33302
Baufachwerker/in - Ausbau (§66 BBiG/§42m HwO);33302
Brandschutzfachkraft (Brandschutzmonteur/in);33302
Brandschutzmonteur/in;33302
Fachkraft - Trockenbau;33302
Gipsplattenverleger/in;33302
Trockenausbauer/in;33302
Trockenbauer/in;33302
Trockenbaufachkraft;33302
Trockenbaumonteur/in;33302
Trockenbaumonteur/in (Schallschutz, Akustik);33302
Vorarbeiter/in - Aus- und Trockenbau;33302
Vorarbeiter/in (Trockenbau);33302
Ausbautechniker/in;33303
Bautechniker/in - Ausbau;33303
Restaurator/in - Ausbau;33303
Techniker/in - Bautechnik (Ausbau)/B. Prof. Technik;33303
Apparateisolierer/in;33312
Ausbaufacharbeiter/in - Wärme-, Kälte- u. Schallschutzarb.;33312
Behälterisolierer/in;33312
Facharbeiter/in - Isoliertechnik;33312
Fassadenisolierer/in;33312
Industrie-Isolierer/in;33312
Isolierer/in;33312
Isolierer/in im Bereich der Industrie;33312
Isolierfacharbeiter/in;33312
Isoliermonteur/in;33312
Kälteisolierer/in;33312
Kälteschutzisolierer/in;33312
Maler/in und Lackierer/in - Dämmarbeiten;33312
Maschinenisolierer/in;33312
Rohrisolierer/in;33312
Schallschutzisolierer/in;33312
Vollwärmeschützer/in;33312
Vollwärmeschutzfachkraft;33312
Vollwärmeschutzmonteur/in;33312
Vorarbeiter/in (Isolierbereich);33312
Wärme-, Kälte- und Schallschutzisolierer/in;33312
Wärmedämmer/in;33312
Wärmeisolierer/in;33312
Wärmeschutzisolierer/in;33312
Ausbaufacharbeiter/in - Zimmerarbeiten;33322
Ausbauzimmer(er/in);33322
Bauzimmer(er/in);33322
Betriebszimmer(er/in);33322
Bootsbauer/in - Neu-, Aus- und Umbau;33322
Bootsbauer/in (ohne Fachrichtungen);33322
Brückenbauzimmer(er/in);33322
Bühnenzimmer(er/in);33322
Facharbeiter/in - Holztechnik (Bootsbau);33322
Fertighausmonteur/in;33322
Fertighausmonteur/in (Holz);33322
Fertighauszimmer(er/in);33322
Fertigteilbauer/in (Holz);33322
Fertigteilmonteur/in (Holz);33322
Holzbootsbauer/in;33322
Holzfertigteilbauer/in (Zimmerer/Zimmerin);33322
Holzschiffbauer/in;33322
Holztreppenbauer/in;33322
Jachtbauer/in;33322
Kahnbauer/in;33322
Kanubauer/in;33322
Kulissenbauer/in (Zimmerer/Zimmerin);33322
Kunststoffbootsbauer/in;33322
Schalungszimmerer/-zimmerin;33322
Schiffsinnenausbauer/in;33322
Schiffszimmer(er/in);33322
Schiffszimmermann/-frau;33322
Segelbootbauer/in;33322
Treppenbaumonteur/in (Holz);33322
Treppenbauzimmer(er/in);33322
Zimmerer/Zimmerin;33322
Zimmerervorarbeiter/in;33322
Zimmermann/-frau;33322
Ausbautechniker/in (Holz);33323
Restaurator/in - Zimmererhandwerk/M. Prof. Restaurierung;33323
Zimmerer/Zimmerin - Restaurierungsarbeiten;33323
Zimmerermeister/in - Restaurierungsarbeiten;33323
Akustikschreiner/in;33332
Ausbaufacharbeiter/in - Bautischlerarbeiten;33332
Ausstellungsschreiner/in;33332
Ausstellungstischler/in;33332
Bauschreiner/in;33332
Bautischler/in;33332
Bühnenschreiner/in;33332
Bühnentischler/in;33332
Fensterfertiger/in;33332
Fenstermonteur/in;33332
Fensterrahmenmacher/in;33332
Fensterschreiner/in;33332
Fenstertischler/in;33332
Messebauer/in;33332
Messemonteur/in;33332
Messeschreiner/in;33332
Messestandbauer/in;33332
Montagetischler/in;33332
Tischler/in - Bautischler/in;33332
Treppenbautischler/in;33332
Türenbauer/in;33332
Vertäfler/in;33332
Zargentischler/in;33332
Aquariumbauer/in;33342
Autoglaser/in;33342
Bauglaser/in;33342
Bautischler/in - Rahmenglaser/in;33342
Bauverglaser/in;33342
Bilderglaser/in;33342
Bleiglaser/in;33342
Brandschutzglaser/in;33342
Fahrzeugglaser/in;33342
Fensterbauer/in - Glas;33342
Fensterglaser/in;33342
Glasbauer/in;33342
Glasbaumonteur/in;33342
Glasdachmonteur/in;33342
Glaser/in - Bleiglaser/in;33342
Glaser/in - Fenster- und Glasfassadenbau;33342
Glaser/in - Rahmenglaser/in;33342
Glaser/in - Verglasung und Glasbau;33342
Glasfassadenmonteur/in;33342
Glassteinmonteur/in;33342
Industrieglaser/in;33342
Industrieverglaser/in;33342
Isolierglasbauer/in;33342
